date,actualKWh,insolationKWhM2,peakIrradianceWm2,ambientC,rained,notes
2026-08-11,8.6,3.8,680.0,24.0,1,Monsoon shower
2026-08-12,9.2,4.0,720.0,24.0,1,Light rain
2026-08-13,7.8,3.5,650.0,23.0,1,Heavy rain
2026-08-14,9.8,4.3,780.0,25.0,0,Cloudy
2026-08-15,10.6,4.6,820.0,26.0,0,
2026-08-16,9.5,4.2,760.0,25.0,1,Evening rain
2026-08-17,11.0,4.7,840.0,26.0,0,
2026-08-18,11.4,4.9,860.0,27.0,0,
2026-08-19,10.7,4.6,820.0,26.0,0,
2026-08-20,10.1,4.4,790.0,26.0,1,Morning drizzle
2026-08-21,11.2,4.8,850.0,27.0,0,
2026-08-22,11.7,5.0,880.0,28.0,0,
2026-08-23,11.5,4.9,870.0,28.0,0,
2026-08-24,11.3,4.8,860.0,27.0,0,
2026-08-25,11.9,5.1,890.0,28.0,0,
2026-08-26,11.5,5.0,880.0,29.0,0,
2026-08-27,12.0,5.2,900.0,29.0,0,
2026-08-28,11.8,5.1,890.0,29.0,0,
2026-08-29,12.0,5.2,900.0,29.0,0,
2026-08-30,11.6,5.0,880.0,28.0,0,
2026-08-31,11.9,5.1,890.0,29.0,0,
2026-09-01,11.7,5.1,890.0,29.0,0,
2026-09-02,11.4,5.0,880.0,30.0,0,
2026-09-03,11.1,4.9,870.0,30.0,0,
2026-09-04,11.5,5.1,890.0,30.0,0,
2026-09-05,11.3,5.0,880.0,31.0,0,
2026-09-06,11.0,4.9,870.0,31.0,0,
2026-09-07,10.8,4.8,860.0,31.0,0,
2026-09-08,11.2,5.0,880.0,30.0,0,
2026-09-09,10.9,4.9,870.0,30.0,0,
2026-09-10,11.2,5.0,880.0,29.0,0,
2026-08-24,12.0,4.0,234.0,45.0,1,
